Tempo_unidade_s,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_do_oleo_do_motor_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,59.230,1163.150,20.970,77.650,69.870,215.200,596.000,45.000,47.500,156.019,26.300,1567.140,11.514
0.5,0.005,60.240,1163.270,20.970,78.800,72.200,218.200,596.000,45.000,47.594,158.581,27.000,1538.970,11.313
0.5,0.005,60.270,1163.500,20.970,78.350,71.580,220.000,596.000,45.000,47.688,162.553,27.800,1554.640,11.383
0.5,0.000,59.925,1163.660,20.970,76.150,69.100,220.000,596.000,45.000,47.688,165.372,28.400,1602.490,11.723
0.5,0.005,59.375,1163.890,20.970,74.950,67.370,221.000,596.000,45.000,47.781,168.319,29.000,1633.760,11.975
0.5,0.005,59.390,1164.090,20.970,74.850,66.830,222.000,596.000,45.000,47.875,171.266,29.900,1646.600,12.073
0.5,0.000,59.275,1164.460,20.970,74.000,66.000,222.600,596.000,45.000,48.000,173.572,30.400,1663.740,12.189
0.5,0.005,58.950,1164.580,20.970,73.500,65.480,223.600,596.000,45.000,48.094,176.134,31.000,1667.890,12.243
0.5,0.005,58.910,1165.090,20.970,73.400,65.385,224.000,596.000,46.000,48.188,178.056,32.000,1669.176,12.233
0.5,0.000,58.765,1165.400,20.970,73.400,65.040,224.000,596.000,46.000,48.281,180.491,32.500,1676.352,12.293
0.5,0.005,58.755,1165.460,20.970,73.450,65.000,224.000,596.000,46.000,48.375,182.412,33.000,1676.684,12.313
0.5,0.005,58.630,1166.020,20.970,73.250,65.060,224.000,596.000,46.000,48.594,184.847,34.000,1670.675,12.273
0.5,0.000,58.685,1166.400,20.970,73.600,65.000,224.200,596.000,46.000,48.688,186.769,34.500,1674.170,12.282
