Tempo_unidade_s,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Posicao_do_pedal_do_acelerador_unidade_%,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.005,10.575,nan,nan,62.600,43.840,74.400,23.000,480.000,47.000,25.000,32.000,1327.787,29.849
0.5,0.010,12.205,nan,nan,65.950,45.600,75.240,27.000,480.000,47.000,25.000,32.000,1404.192,31.548
0.5,0.010,13.290,nan,nan,68.150,46.960,75.600,34.000,480.000,47.000,25.000,32.000,1489.947,33.473
0.5,0.005,14.930,nan,nan,73.350,50.540,72.840,40.000,480.000,47.000,25.000,32.000,1584.852,35.574
0.5,0.010,17.090,nan,nan,78.850,55.120,62.300,50.000,480.000,48.000,25.000,32.000,1692.390,38.009
0.5,0.015,15.765,nan,nan,65.650,46.340,52.180,54.000,480.000,48.000,25.000,32.000,1778.082,40.018
0.5,0.005,14.945,nan,nan,65.100,47.240,54.320,42.000,480.000,48.000,25.000,32.000,1834.972,41.268
0.5,0.020,17.685,nan,nan,71.400,51.440,56.400,57.000,480.000,48.000,25.000,32.000,1921.625,43.223
0.5,0.005,7.400,nan,nan,20.600,13.000,19.660,50.000,480.000,48.000,25.000,32.000,1722.717,44.108
0.5,0.015,2.760,nan,nan,27.200,20.940,24.880,11.000,480.000,48.000,25.000,32.000,1195.915,43.449
0.5,0.010,9.385,nan,nan,62.000,45.240,54.800,13.000,480.000,48.000,25.000,32.000,1198.985,43.878
0.5,0.015,9.635,nan,nan,62.000,44.880,49.580,19.000,480.000,49.000,25.000,32.000,1227.148,44.858
0.5,0.005,9.825,nan,nan,62.950,45.100,46.640,22.000,480.000,49.000,25.000,32.000,1254.250,45.858
0.5,0.020,9.430,nan,nan,56.500,39.940,42.320,22.000,480.000,49.000,25.000,32.000,1277.090,46.729
0.5,0.015,8.655,nan,nan,52.900,37.060,40.760,17.000,480.000,49.000,25.000,32.000,1286.408,47.074
